,underscore,//,@,https,hash,numbers_inURL,Special_char_ratio
has_client,0.015963455311243987,-0.003024835024826814,0.00233846716175243,0.04621259350257998,-0.000849024997132454,0.00771650203935399,-0.010575155369361076
has_admin,-0.007643437583782049,-0.02018071650198514,-0.003317405999488983,-0.011363135533165957,-0.0018327526053237078,-0.01805441492986135,-0.03925789155918055
count_dir,-0.01890512831252687,-0.05294934557230052,-0.014503023012298256,-0.07529954933182104,-0.012183805240515705,-0.06009196328130266,-0.21357980753585978
count_dir2,-0.01890512831252687,-0.05294934557230052,-0.014503023012298256,-0.07529954933182104,-0.012183805240515705,-0.06009196328130266,-0.21357980753585978
short_url,0.028108767141890333,-0.06630180910685125,0.013804529406661378,-0.09301249227306531,-0.01643803716405101,0.08991053990245684,0.09026428018695437
short_url2,0.028108767141890333,-0.06630180910685125,0.013804529406661378,-0.09301249227306531,-0.01643803716405101,0.08991053990245684,0.09026428018695437
short_url3,0.028108767141890333,-0.06630180910685125,0.013804529406661378,-0.09301249227306531,-0.01643803716405101,0.08991053990245684,0.09026428018695437
number_subdom,-0.0498525206508861,-0.003811233377825036,-0.009540413406440936,-0.023352521373247993,0.0016238235151756068,-0.005882084679040038,-0.10352630731202014
domain_length,-0.05214750350813843,0.021244003628677854,-0.004655244599984876,-0.044612097233257,0.010159351424793604,-0.03879753629245641,-0.22480632296127598
dots_in_domain,0.007161119305532319,0.0366565091187952,-0.010870753950090073,-0.046841248948153634,0.0064332774645121495,-0.009645043523451899,-0.19414205186118783
hyphens_in_domain,-0.02918923722959085,0.003081458716362012,0.0022356825817574717,-0.015009895085944816,0.008670641367068256,-0.0016817461487821993,-0.05509254565613123
url_type,0.0014471273180781032,0.03870509212055472,-0.02957330965573211,-0.11604931346688357,0.019757262194719537,0.02041395044659205,0.035687393160251754
